time,mean,lower,upper
0,0.046125,0.042192,0.050058
5,0.048,0.04368,0.05232
10,0.050812,0.046386,0.055239
15,0.054437,0.049914,0.058961
20,0.057687,0.052721,0.062654
25,0.060563,0.055546,0.065579
30,0.063875,0.058883,0.068867
35,0.067625,0.062647,0.072603
40,0.071938,0.067087,0.076788
45,0.076438,0.07129,0.081585
50,0.08075,0.075359,0.086141
55,0.085375,0.079985,0.090765
60,0.089438,0.084099,0.094776
65,0.095187,0.089345,0.10103
70,0.10031,0.09417,0.10645
75,0.1075,0.10078,0.11422
80,0.11487,0.10765,0.1221
85,0.12381,0.11537,0.13225
90,0.13313,0.12381,0.14244
95,0.143,0.13361,0.15239
100,0.15237,0.14179,0.16296
105,0.16488,0.15208,0.17767
110,0.17669,0.16225,0.19112
115,0.18887,0.17391,0.20384
120,0.20188,0.18403,0.21972
125,0.21675,0.19646,0.23704
130,0.23106,0.20807,0.25405
135,0.24481,0.2203,0.26932
140,0.2615,0.23372,0.28928
145,0.27875,0.24804,0.30946
150,0.29625,0.26176,0.33074
155,0.31356,0.27813,0.349
160,0.3315,0.29119,0.37181
165,0.3485,0.3075,0.3895
170,0.36669,0.3228,0.41058
175,0.38475,0.33788,0.43162
180,0.4035,0.35511,0.45189
185,0.42175,0.37523,0.46827
190,0.43975,0.39015,0.48935
195,0.46006,0.41098,0.50915
200,0.477,0.4275,0.5265
205,0.4965,0.44588,0.54712
210,0.51187,0.46113,0.56262
215,0.52975,0.4777,0.5818
220,0.54675,0.49544,0.59806
225,0.56463,0.51091,0.61834
230,0.58006,0.52744,0.63268
235,0.5895,0.5355,0.6435
240,0.59931,0.54425,0.65437
245,0.61275,0.55674,0.66876
250,0.62444,0.569,0.67988
255,0.63525,0.57779,0.69271
260,0.64981,0.59124,0.70839
265,0.66156,0.60234,0.72078
270,0.67531,0.61606,0.73456
275,0.68744,0.62821,0.74667
280,0.70037,0.64103,0.75972
285,0.71237,0.65223,0.77252
290,0.72675,0.66601,0.78749
295,0.73819,0.67879,0.79759
300,0.75012,0.69014,0.81011
305,0.75775,0.69798,0.81752
310,0.76956,0.70867,0.83046
315,0.78225,0.71936,0.84514
320,0.78937,0.728,0.85075
325,0.80169,0.73975,0.86363
330,0.80788,0.74589,0.86986
335,0.82188,0.75982,0.88393
340,0.83038,0.76691,0.89384
345,0.83781,0.7766,0.89903
350,0.85019,0.78749,0.91288
355,0.85787,0.79769,0.91806
360,0.86581,0.80472,0.92691
