time,mean,lower,upper
0,1030.6,784.41,1276.9
5,1193.4,1049.6,1337.1
10,1228,1061.5,1394.5
15,1276.2,1103.3,1449
20,1305,1123,1487
25,1339.6,1166.6,1512.7
30,1348.7,1184.6,1512.7
35,1337.4,1188.3,1486.5
40,1391.3,1234,1548.6
45,1380.5,1230.9,1530.1
50,1392.9,1243.7,1542.2
55,1405.1,1252.8,1557.5
60,1395.1,1258.6,1531.5
65,1378.4,1242.3,1514.5
70,1350.4,1225.2,1475.6
75,1350.7,1212.5,1489
80,1339.1,1207,1471.1
85,1364.1,1212.2,1516.1
90,1323.2,1182.1,1464.2
95,1320.8,1163,1478.6
100,1312.1,1149.3,1474.9
105,1298.3,1145.7,1450.8
110,1298.1,1119.1,1477.1
115,1316.6,1123.6,1509.5
120,1295.3,1098.7,1491.9
125,1296.3,1092.7,1499.9
130,1284.7,1086.1,1483.2
135,1287.7,1080.1,1495.3
140,1288.5,1084.2,1492.9
145,1289.3,1075.6,1502.9
150,1296.8,1072.1,1521.5
155,1289.8,1072.2,1507.4
160,1304.3,1077,1531.7
165,1307.5,1075.5,1539.5
170,1300,1069.6,1530.3
175,1328.7,1078.6,1578.8
180,1333.5,1080.1,1586.9
185,1310.8,1072.4,1549.2
190,1299.8,1060.7,1538.9
195,1286.8,1056.6,1517
200,1307,1056.1,1557.8
205,1308.5,1059.2,1557.9
210,1319.6,1066.1,1573.1
215,1305.5,1057.6,1553.3
220,1310.8,1062.5,1559.1
225,1307,1055,1558.9
230,1304.4,1055.8,1552.9
235,1318.7,1063.4,1574.1
240,1318.2,1061.6,1574.8
245,1308.7,1055.6,1561.8
250,1303.7,1056.3,1551
255,1302.2,1051.1,1553.3
260,1311.2,1061,1561.4
265,1315.6,1057.2,1574
270,1308.6,1057.1,1560.1
275,1323.4,1063.7,1583
280,1314.4,1063.4,1565.3
285,1309.4,1067.8,1551
290,1296.7,1051.9,1541.5
295,1306.2,1051.6,1560.8
300,1307.9,1051.9,1563.9
305,1300.9,1056.3,1545.5
310,1289.7,1041.3,1538.2
315,1280.9,1042,1519.9
320,1278.4,1031.9,1525
325,1270.7,1030.3,1511.1
330,1251,1023.9,1478.2
335,1246.4,1016.3,1476.6
340,1258.7,1018.2,1499.2
345,1252.1,1012.2,1492
350,1243.8,1008.1,1479.5
355,1232.2,1004.5,1459.9
360,1241.1,1001.9,1480.3
