name;description;category;type;lenghtBP;quantity;r;dm
BBa_K2656000;Constitutive promoter derived from the T7 bacteriophage. Allows high expression of proteins.; ;mc;23;0;600;0.247
BBa_K2656001;HSP promoter. The activity of this promoter increases with heat shock temperature.; ;mi;98;0;600;0.247
BBa_K2656002;Inducible promoter. This promoter is negative regulated by LuxR when it is responding to Acyl-homoserine-lactone produced by LuxI .; ;mi_luxR;30;0;600;0.247
BBa_K2656003;Inducible promoter. This promoter is negative regulated by LuxR when it is responding to Acyl-homoserine-lactone produced by LuxI .; ;mi_luxR;61;0;600;0.247
BBa_K2656004;Constitutive promoter.; ;mc;35;0;600;0.247
BBa_K2656005;Constitutive promoter.; ;mc;35;0;600;0.247
BBa_K2656006;Inducible promoter. This promoter is positively regulated by AraC when it reacts to L-arabinose.; ;mi_araC;303;0;600;0.247
BBa_K2656007;Constitutive promoter.; ;mc;35;0;600;0.247
